pl_name,hostname,pl_orbper,pl_rade,pl_bmassj,pl_eqt,pl_insol,st_rad,st_teff,st_lum,sy_dist,pl_dens
V1298 Tau d,V1298 Tau,12.396,6.13,,,,1.33,,,108.199,
Kepler-298 d,Kepler-298,77.4740724,2.91,,,,0.65,4612.0,,518.204,
Kepler-1150 b,Kepler-1150,2.787876,1.12,,907.0,,0.649,4706.0,,358.518,
Kepler-305 d,Kepler-305,16.739,2.7,0.02863166,,,,,,868.477,2.5
Kepler-878 b,Kepler-878,25.9422033,1.87,,502.0,15.07,0.762,5121.0,,791.625,
Kepler-1157 b,Kepler-1157,4.45743164,1.09,,,,0.71,4679.0,,342.144,
Kepler-369 b,Kepler-369,2.732756,1.13,,,,0.471,3591.0,,,
K2-289 b,K2-289,13.15628,3.2,,,,0.38,3809.0,,274.3,
Kepler-224 e,Kepler-224,18.64385,2.55,,544.0,,0.72,5210.0,,782.088,
K2-119 b,K2-119,7.727574,2.6,,,,0.71,,,365.581,
Kepler-909 b,Kepler-909,13.93281,1.38,,817.0,,1.128,6037.0,,309.596,
HD 63433 b,HD 63433,7.1079379,2.112,,,,0.912,5688.0,-0.12494,22.4035,
TOI-4794 b,TOI-4794,3.5658043,13.7385,,1610.0,1115.66,1.4,6214.0,,543.008,
Kepler-48 c,Kepler-48,9.6739283,3.14,0.04279039,,,0.89,5190.0,,306.738,
Kepler-820 b,Kepler-820,127.8338098,7.57,,498.0,14.54,1.689,6205.0,,1387.2,
Kepler-643 b,Kepler-643,16.33889626,10.99,,972.0,210.99,2.69,4883.0,,1063.58,
Kepler-1219 b,Kepler-1219,16.10467749,2.977,,,416.3,2.672,6003.0,,880.895,
Kepler-247 d,Kepler-247,20.47735749,5.07,,,,0.8,5130.0,,663.711,
Kepler-1016 b,Kepler-1016,1.954525966,2.38,,1540.0,1331.18,1.136,5741.0,,1402.82,
Kepler-158 c,Kepler-158,28.55156868,1.9,,418.0,7.21,0.668,4621.0,,315.177,
Kepler-251 c,Kepler-251,16.5141282,3.08,,,,0.91,5622.0,,924.625,
Kepler-1172 b,Kepler-1172,26.0204423,3.26,,586.0,27.91,0.899,5806.0,,1306.53,
TrES-3 b,TrES-3,1.30619,14.706208,1.938,1623.0,,0.812,5650.0,-0.22768,231.337,1.065
Kepler-1371 b,Kepler-1371,3.4462125,0.7,,1015.0,251.24,0.721,5374.0,,515.334,
Kepler-302 c,Kepler-302,127.2824442,12.04,,392.0,5.61,1.183,5733.0,,1402.58,
Kepler-1866 b,Kepler-1866,11.6601366,1.68,,840.0,117.68,1.024,6089.0,,976.737,
Kepler-1505 b,Kepler-1505,30.8609783,1.08,,525.0,17.96,0.833,5627.0,,495.148,
TOI-2346 b,TOI-2346,3.3312029,16.11851425,1.24,1689.0,1360.0,1.38,6480.0,0.48144,437.484,0.52
Kepler-284 c,Kepler-284,37.514456,2.61,,,,0.814,5615.0,,1031.95,
HD 63433 c,HD 63433,20.543791,2.521,,,,0.912,5688.0,-0.12494,22.4035,
HD 63433 d,HD 63433,4.209075,1.073,,1040.0,,0.912,5688.0,-0.12494,22.4035,
Kepler-1162 b,Kepler-1162,32.56265,2.0,,498.0,,0.8,5540.0,,940.211,
Kepler-830 b,Kepler-830,11.29689442,1.74,,907.0,160.18,1.176,6096.0,,,
HATS-3 b,HATS-3,3.547851,15.48,1.071,1648.0,,1.404,6351.0,0.456,411.211,0.51
Kepler-1228 b,Kepler-1228,0.577369579,1.484,,,1742.0,0.727,4767.0,,515.453,
Kepler-132 c,Kepler-132,6.41490515,1.234,,,271.0,1.038,5910.0,,349.549,
TOI-150.01,TOI-150,5.857487,14.067295,2.51,1404.5,,1.526,6255.0,0.49651,336.267,1.68
Kepler-1965 b,Kepler-1965,41.8681996,1.25,,492.0,13.89,0.837,5852.0,,521.791,
Kepler-338 e,Kepler-338,9.34144548,1.76,,1143.0,403.94,1.735,5923.0,,552.798,
Kepler-1588 b,Kepler-1588,7.84931877,0.81,,925.0,172.98,0.99,5678.0,,924.141,
Kepler-1638 b,Kepler-1638,259.33683,1.87,,,,0.95,5710.0,,1525.52,
Kepler-24 c,Kepler-24,12.33340885,4.75,,864.0,131.96,1.088,6038.0,,1156.81,
Kepler-733 b,Kepler-733,20.83424726,2.87,,595.0,29.62,0.88,5537.0,,916.706,
HD 77946 b,HD 77946,6.527282,2.705,0.02636643,,,1.31,6046.0,,99.451,2.481127
Kepler-132 b,Kepler-132,6.178,2.17,,1194.0,,1.408,5879.0,,349.549,
HATS-61 b,HATS-61,7.817953,13.394755,3.4,1226.1,374.2,1.664,5542.0,0.36922,679.761,2.47
Kepler-1016 c,Kepler-1016,105.6551369,3.5,,392.0,5.59,0.953,6060.0,,1402.82,
CoRoT-13 b,CoRoT-13,4.03519,14.033668,1.312,1432.0,,1.274,5945.0,,1148.93,0.82
Kepler-1181 c,Kepler-1181,8.93484887,1.83,,1124.0,377.25,1.347,6688.0,,938.417,
Kepler-339 d,Kepler-339,10.558,1.18,0.046,,,0.808,,,616.637,
Kepler-65 c,Kepler-65,5.859938722,2.585,0.01567884,,,,,,303.728,1.589558
Kepler-310 d,Kepler-310,92.8756,2.5,,386.0,,0.9,5818.0,,602.268,
Kepler-396 c,Kepler-396,88.5112563,6.07,,417.0,7.17,1.06,5579.0,,223.757,
Kepler-599 b,Kepler-599,15.65563866,2.55,,623.0,35.62,0.837,5185.0,,558.517,
K2-28 b,K2-28,2.260455,2.32,,568.0,,0.288,3214.0,,62.9969,
Kepler-149 c,Kepler-149,55.3285813,1.943,,,9.3,0.975,5455.0,,571.034,
Kepler-302 c,Kepler-302,127.282184,12.45,,,,1.22,5740.0,,1402.58,
Kepler-755 b,Kepler-755,1.269090374,1.78,,1372.0,836.67,0.771,5095.0,,399.034,
TOI-1136 e,TOI-1136,18.80693,2.5456702,0.07551244,669.11,,0.9573,5805.0,-0.02687,84.5362,8.0
Kepler-212 c,Kepler-212,31.80474045,2.06,,615.0,33.82,1.141,5914.0,,687.194,
Kepler-803 b,Kepler-803,50.28638192,3.2,,479.0,12.44,0.945,5642.0,,639.771,
Kepler-271 b,Kepler-271,10.43547805,1.247,,,74.9,0.849,5470.0,,404.542,
Kepler-68 c,Kepler-68,9.604869,1.11,,944.0,,1.242,5793.0,,144.166,
Kepler-129 c,Kepler-129,82.1997,2.04,,476.0,,1.36,5795.0,,408.845,
Kepler-1356 b,Kepler-1356,0.634002937,1.45,,1718.0,2059.81,0.752,5238.0,,845.228,
Kepler-222 c,Kepler-222,10.08881,4.64,,,,0.869,5433.0,,758.854,
Kepler-750 c,Kepler-750,4.08897299,2.36,,1537.0,1317.96,1.86,5897.0,,1296.02,
Kepler-243 b,Kepler-243,5.71542485,2.48,,842.0,118.57,0.811,5228.0,,693.86,
Kepler-97 b,Kepler-97,2.586638081,1.623,0.01066696,,,,,,400.907,4.390765
HATS-52 b,HATS-52,1.36665436,15.490838,2.24,1834.0,,1.046,6010.0,0.06819,555.134,1.06
K2-32 e,K2-32,4.34934,1.212,0.00660734,1066.0,,0.86,5271.0,,157.682,6.3
Kepler-1157 b,Kepler-1157,4.457356,0.89,,730.0,,0.61,4544.0,,342.144,
Kepler-1151 b,Kepler-1151,65.6478424,2.22,,,,0.85,5470.0,,682.436,
Kepler-2001 b,Kepler-2001,1.090013327,1.03,,1417.0,953.68,0.784,5093.0,,776.55,
K2-34 b,K2-34,2.995633,13.96,,1559.0,,1.44,6071.0,,348.646,
TOI-2088 b,TOI-2088,124.72987003126,3.5130935,,292.66,1.7338,0.831423,4902.0,,126.46,
Kepler-357 d,Kepler-357,49.5004952,3.38,,408.0,6.56,0.821,5033.0,,688.573,
Kepler-141 c,Kepler-141,7.01062745,1.63,,,,0.79,4996.0,,301.183,
Kepler-683 b,Kepler-683,2.539183179,1.97,,,,0.95,5703.0,,1023.07,
Kepler-109 b,Kepler-109,6.481628092,2.29,,1150.0,412.93,1.323,5952.0,,474.861,
Kepler-367 b,Kepler-367,37.815724,1.3,,,,0.695,4710.0,,188.027,
Kepler-603 c,Kepler-603,127.9075774,5.8,,356.0,3.8,0.906,5960.0,,1539.63,
Kepler-169 d,Kepler-169,8.34811,3.76,,1091.0,,1.86,5058.0,,406.529,
Kepler-393 b,Kepler-393,9.18247194,1.51,,1228.0,537.32,1.604,6735.0,,881.404,
TOI-6034 b,TOI-6034,2.5761795598,12.14508691,,661.87,45.3541,0.497905,3628.0,,117.992,
Kepler-1793 b,Kepler-1793,8.779999733,3.79037518,,,,0.764,5191.0,,1189.88,
Kepler-1035 b,Kepler-1035,2.714078374,1.38,,1301.0,675.86,0.992,5815.0,,562.116,
Kepler-324 e,Kepler-324,13.97946561,1.52,,639.0,39.51,0.803,5355.0,,501.574,
Kepler-249 c,Kepler-249,7.11372736,1.27,,435.0,8.43,0.42,3568.0,,190.401,
Kepler-251 b,Kepler-251,4.79091735,1.49,,,,0.91,5622.0,,924.625,
Kepler-789 b,Kepler-789,8.63847725,2.1,,937.0,182.1,0.988,6178.0,,1480.16,
Kepler-1264 b,Kepler-1264,0.96852,1.25,,1895.0,,0.99,5944.0,,801.993,
TOI-3807 b,TOI-3807,2.8989758,10.0928,,1247.0,401.9,1.47,5908.0,,421.745,
Kepler-806 b,Kepler-806,8.09219642,1.86,,1235.0,549.98,1.922,5662.0,,361.896,
Kepler-1246 b,Kepler-1246,11.32271513,1.36,,,,0.69,4611.0,,436.505,
Kepler-115 b,Kepler-115,2.403679,1.09,,,,1.205,5979.0,,623.609,
Kepler-252 c,Kepler-252,10.84844792,2.38,,500.0,14.78,0.59,4208.0,,379.424,
Kepler-383 b,Kepler-383,12.90467523,1.49,,545.0,20.91,0.722,4513.0,,,
Kepler-1086 c,Kepler-1086,161.5163345,2.94,,,,0.66,4350.0,,466.084,
K2-16 c,K2-16,19.0702,1.84,,,,0.544,,,334.967,
Kepler-726 b,Kepler-726,21.80451088,3.26,,,,0.85,5452.0,,762.081,
Kepler-271 b,Kepler-271,10.43547031,1.22,,759.0,78.35,0.853,5528.0,,404.542,
Kepler-75 b,Kepler-75,8.88492268,10.83,,,,0.83,5206.0,,835.356,
K2-270 c,K2-270,4.400028,2.95,,848.0,,0.77,4877.0,,280.518,
Kepler-106 b,Kepler-106,6.16486,0.82,0.01667558,,,1.04,5858.0,,444.322,
K2-83 c,K2-83,9.99791,1.7,,,,0.424,,,125.529,
Kepler-17 b,Kepler-17,1.485710952,14.8,,1561.0,1404.81,1.018,5624.0,,720.753,
Kepler-1271 b,Kepler-1271,3.0255955,1.2,,1351.0,788.13,1.038,6184.0,,831.991,
CoRoT-20 b,CoRoT-20,9.24285,9.41556,4.23,,,1.02,5880.0,,844.061,8.9
Kepler-2001 c,Kepler-2001,14.092768,1.83,,570.0,,0.69,5013.0,,776.55,
K2-404 b,K2-404,13.115365,2.53,,,,0.552,3748.0,,121.63,
Kepler-69 b,Kepler-69,13.72237104,2.29,,,,0.95,5745.0,,730.625,
Kepler-1090 c,Kepler-1090,42.4267342,3.08,,482.0,12.79,0.906,5403.0,,858.77,
Kepler-127 c,Kepler-127,29.392404,2.33,,683.0,,1.27,6169.0,,352.794,
Kepler-950 b,Kepler-950,98.7180406,6.97,,363.0,4.1,0.793,5838.0,,2161.6,
K2-87 b,K2-87,9.72665,7.23871,,1214.0,361.739,1.45,5583.6,,491.242,
Kepler-186 b,Kepler-186,3.886789356,1.05,,578.0,26.38,0.46,3761.0,,177.594,
Kepler-761 b,Kepler-761,10.12804789,2.03,,,,0.93,5706.0,,830.707,
EPIC 211945201 b,EPIC 211945201,19.4921473,5.50689,,662.0,31.9085,1.36,6128.0,,181.69,
Kepler-793 b,Kepler-793,4.24153639,1.51,,1177.0,452.95,1.047,5776.0,,985.699,
TOI-763 b,TOI-763,5.6057,2.28,0.03080263,1038.0,,0.897,5450.0,,95.1274,4.51
Kepler-669 b,Kepler-669,4.125546869,4.46,,1244.0,565.35,1.103,6174.0,,2063.41,
Kepler-718 b,Kepler-718,2.052349905,13.38,,1495.0,1181.14,1.051,6015.0,,1302.33,
Kepler-838 b,Kepler-838,15.74954,2.53,,767.0,,1.01,6171.0,,1104.04,
Kepler-1855 b,Kepler-1855,0.727330426,0.59,,779.0,86.97,0.288,3339.0,,,
Kepler-1122 b,Kepler-1122,42.1917357,2.01,,479.0,12.5,0.857,5674.0,,1230.42,
Kepler-1052 b,Kepler-1052,34.8536903,2.4,,522.0,17.62,0.848,5818.0,,943.444,
Kepler-292 f,Kepler-292,20.834237,2.35,,,,0.826,5299.0,,1056.48,
Kepler-1377 b,Kepler-1377,0.7409258,1.4,,1906.0,,0.89,5613.0,,1146.1,
Kepler-1226 b,Kepler-1226,17.2923453,1.36,,734.0,68.77,0.959,6184.0,,1125.72,
Kepler-220 d,Kepler-220,28.122397,0.98,,,,0.666,4632.0,,171.109,
Kepler-1405 b,Kepler-1405,28.22737,3.0,,576.0,,0.89,5875.0,,1530.3,
Kepler-158 c,Kepler-158,28.55142,1.82,,406.0,,0.628,4631.0,,315.177,
Kepler-360 b,Kepler-360,3.289722169,1.62,,1296.0,667.45,1.028,6052.0,,876.044,
TRAPPIST-1 b,TRAPPIST-1,1.510848,1.113,,400.0,4.25,0.117,2550.0,-3.27984,,
Kepler-753 b,Kepler-753,5.747725012,1.52,,556.0,22.53,0.52,3937.0,,274.767,
Kepler-52 b,Kepler-52,7.877356,2.21,,541.0,,0.548,4222.0,,321.542,
Kepler-1195 b,Kepler-1195,8.496449,2.3,,715.0,,0.75,5132.0,,918.566,
Kepler-224 e,Kepler-224,18.643516,2.0,,540.0,20.09,0.699,5195.0,,782.088,
GJ 9827 b,GJ 9827,1.208966,1.58,0.01161004,1114.0,256.0,0.622,4219.0,,29.661,5.11
TOI-1883 b,TOI-1883,4.50638,5.65,,524.92,,0.494,3477.0,-1.49377,115.369,
Kepler-53 b,Kepler-53,18.64895,3.1,,703.0,,0.97,6086.0,,1366.07,
Kepler-833 b,Kepler-833,18.7546998,2.02,,,,0.62,4339.0,,467.37,
Kepler-516 b,Kepler-516,24.854687,4.8,,908.0,,1.64,6954.0,,687.094,
Kepler-1013 b,Kepler-1013,18.93054959,4.7,,766.0,81.42,1.643,5015.0,,422.246,
Kepler-257 d,Kepler-257,24.664551,4.95,,,,1.037,5180.0,,780.256,
Kepler-1824 b,Kepler-1824,95.61100006,2.38127597,,,,1.081,6002.0,,1040.1,
Kepler-1675 b,Kepler-1675,63.0381121,2.73,,493.0,13.93,1.09,6085.0,,651.117,
TOI-2134 b,TOI-2134,9.2292078,3.21883,,690.0,37.6631,0.77,4406.0,,22.6202,
Kepler-1525 b,Kepler-1525,2.416601183,0.84,,1309.0,694.24,0.923,5812.0,,382.989,
Kepler-962 b,Kepler-962,12.057086,1.98,,683.0,,0.79,5486.0,,411.486,
Kepler-799 b,Kepler-799,133.461,7.0,,354.0,,0.93,5976.0,,,
Kepler-309 b,Kepler-309,5.923653,1.56,,,,0.721,4713.0,,544.568,
CoRoT-6 b,CoRoT-6,8.886593,13.068,2.96,1017.0,,1.025,6090.0,,645.294,2.32
Kepler-24 b,Kepler-24,8.14511872,3.11,,993.0,229.68,1.088,6038.0,,1156.81,
Kepler-887 c,Kepler-887,7.63846084,1.12,,1089.0,333.3,1.299,6119.0,,886.588,
Kepler-754 b,Kepler-754,14.55916,2.04,,758.0,,0.97,5952.0,,1770.27,
Kepler-484 b,Kepler-484,10.045607,2.53,,797.0,,0.92,5680.0,,382.136,
Kepler-1249 b,Kepler-1249,24.3347127,1.82,,647.0,41.3,0.967,6091.0,,1904.54,
TOI-907.01,TOI-907,4.58491290523,9.61588513,,1644.79,1729.6714,2.05979,6272.0,,312.529,
Kepler-550 b,Kepler-550,8.600104109,4.28,,760.0,78.72,0.805,5246.0,,531.944,
Kepler-176 c,Kepler-176,12.760082,2.4,,645.0,,0.79,5166.0,,527.321,
V1298 Tau d,V1298 Tau,12.4058,6.43395492,0.31,,,1.278,5050.0,-0.02045,108.199,2.4
Kepler-36 c,Kepler-36,16.23192004,4.04,,,,1.68,5940.0,,527.956,
WASP-68 b,WASP-68,5.08433397784,13.35263443,,1374.48,843.4794,1.73938,5692.5,,226.399,
Kepler-908 b,Kepler-908,1.340597468,1.07,,1692.0,1939.72,1.022,5977.0,,290.843,
Kepler-603 c,Kepler-603,127.9075774,5.8,,356.0,3.8,0.906,5960.0,,1539.63,
Kepler-1120 b,Kepler-1120,2.949029106,1.48,,1027.0,263.92,0.807,4983.0,,615.231,
Kepler-1357 b,Kepler-1357,3.00912491,1.22,,1177.0,452.27,0.893,5713.0,,1015.69,
Kepler-1337 b,Kepler-1337,24.4002549,2.42,,437.0,8.64,0.674,4583.0,,601.629,
Kepler-1037 b,Kepler-1037,1.06379,1.3,,1422.0,,0.8,5102.0,,446.914,
Kepler-1920 b,Kepler-1920,30.25420641,2.81,,663.0,45.75,1.167,6299.0,,885.913,
Kepler-1442 b,Kepler-1442,81.4162941,2.96,,488.0,13.41,1.095,6499.0,,608.68,
Kepler-384 b,Kepler-384,22.5965999,1.12,,620.0,34.92,0.91,5585.0,,895.678,
Kepler-52 b,Kepler-52,7.877,2.52,0.25,,,0.623,,,321.542,
K2-344 b,K2-344,3.35585,1.59,,722.0,,0.49,4374.0,,75.1691,
Kepler-593 b,Kepler-593,21.21711,3.0,,713.0,,1.05,6202.0,,973.76,
Kepler-386 c,Kepler-386,25.1933989,1.95,,513.0,16.34,0.84,5009.0,,882.462,
Kepler-1540 b,Kepler-1540,125.4131177,2.3,,238.0,0.75,0.639,4366.0,,244.96,
Kepler-256 d,Kepler-256,5.83908991,1.65,,1008.0,244.16,0.965,5936.0,,1026.43,
Kepler-1471 b,Kepler-1471,3.63899398,1.41,,,,0.93,5660.0,,978.678,
Kepler-184 c,Kepler-184,20.30302457,1.946,,,29.2,0.821,5530.0,,610.326,
Kepler-80 e,Kepler-80,4.645387,1.64,,,,0.637,4613.0,,369.451,
Kepler-559 b,Kepler-559,17.58752333,4.17,,719.0,63.2,1.1,5602.0,,776.708,
Kepler-1797 b,Kepler-1797,23.3593589,2.98,,684.0,51.68,1.009,6244.0,,1338.49,
Kepler-130 d,Kepler-130,87.5174361,1.37,,448.0,9.56,1.127,5884.0,,316.663,
Kepler-122 d,Kepler-122,21.5878875,1.52,,670.0,47.58,0.949,6103.0,,1027.45,
Kepler-1530 d,Kepler-1530,9.2075634,5.5,,972.0,211.08,1.303,5678.0,,489.876,
Kepler-688 b,Kepler-688,3.8959309,7.7,,1025.0,,0.81,5582.0,,1357.75,
XO-2 N b,XO-2 N,2.61586178,11.130537,0.566,,,0.99,,,154.273,0.715
Kepler-541 b,Kepler-541,5.08005848,1.92,,1212.0,510.81,1.19,6089.0,,1060.68,
Kepler-140 b,Kepler-140,3.254274054,1.485,,,852.1,1.172,6024.0,,583.859,
Kepler-1297 b,Kepler-1297,1.68189002,0.98,,1682.0,1890.2,1.035,6214.0,,1439.47,
Kepler-1474 b,Kepler-1474,36.4333452,2.44,,606.0,31.78,1.147,6057.0,,1180.9,
Kepler-1320 b,Kepler-1320,0.868386528,1.7,,,,0.74,4817.0,,647.424,
K2-124 b,K2-124,6.414008,2.9,,,,0.394,3620.0,,140.385,
Kepler-995 b,Kepler-995,28.26731672,2.7,,507.0,15.63,0.792,5239.0,,609.638,
Kepler-863 b,Kepler-863,15.5949,2.8,,713.0,,0.92,5880.0,,1499.66,
Kepler-882 b,Kepler-882,3.989539666,0.96,,901.0,155.46,0.693,5208.0,,504.605,
Kepler-1701 b,Kepler-1701,169.134,2.22186207,,,,0.840217,5146.0,-0.35064,584.142,
Kepler-1247 b,Kepler-1247,13.71220213,2.4,,679.0,50.26,0.836,5561.0,,1045.92,
Kepler-467 b,Kepler-467,24.99324193,2.28,,719.0,63.24,1.357,5747.0,,466.265,
Kepler-1181 b,Kepler-1181,4.89337519,1.57,,1358.0,803.93,1.319,6680.0,,938.417,
Kepler-614 b,Kepler-614,14.03491514,2.35,,641.0,39.97,0.785,5258.0,,527.995,
Kepler-394 b,Kepler-394,8.00547,1.63,,1026.0,,1.1,6392.0,,1058.72,
Kepler-1894 b,Kepler-1894,2.762634,1.21,,1202.0,,0.86,5740.0,,935.191,
K2-119 b,K2-119,7.728578,2.29,,,54.9,0.679343,4752.8,,365.581,
Kepler-1245 b,Kepler-1245,4.35409304,1.44,,,,0.83,5306.0,,805.936,
Kepler-124 c,Kepler-124,13.821375,1.75,,,,0.636,4984.0,,420.046,
Kepler-922 b,Kepler-922,0.938466959,1.58,,1876.0,2919.17,1.087,5499.0,,536.323,
Kepler-190 b,Kepler-190,2.020012,1.51,,1157.0,,0.74,5194.0,,433.387,
Kepler-445 d,Kepler-445,8.15275885,5.37,,,,0.42,3369.0,,127.201,
Kepler-11 e,Kepler-11,31.99550624,3.89,,582.0,27.17,1.046,5657.0,,646.346,
Kepler-1254 b,Kepler-1254,9.99115241,1.68,,660.0,44.77,0.796,4838.0,,622.818,
Wolf 327 b,Wolf 327,0.5734745,1.24,0.00796027,996.0,233.9,0.406,3542.0,-1.62986,28.5321,7.24
Kepler-167 d,Kepler-167,21.803855,1.194,,536.0,13.68,0.726,4890.0,-0.57,341.908,
Kepler-1846 b,Kepler-1846,14.82009983,1.76378826,,,,0.732,4825.0,,374.615,
Kepler-129 b,Kepler-129,15.79193725,2.3,,903.0,156.86,1.641,5770.0,,408.845,
Kepler-879 b,Kepler-879,33.38541,2.32,,572.0,,0.99,5803.0,,802.672,
EPIC 212424622 b,EPIC 212424622,18.0971,2.21,,,,1.2247,,,611.804,
Kepler-825 c,Kepler-825,8.18182189,1.77,,981.0,218.9,0.969,6224.0,,807.85,
K2-272 b,K2-272,14.454034,3.2,,,,0.802,5490.0,,423.065,
Kepler-229 c,Kepler-229,16.06862959,5.27,,571.0,25.07,0.742,5126.0,,826.265,
Kepler-1567 b,Kepler-1567,153.979578,2.67,,330.0,2.82,0.903,5858.0,,1206.11,
Kepler-556 b,Kepler-556,11.72292176,2.13,,797.0,95.29,0.937,5957.0,,674.598,
Kepler-351 b,Kepler-351,37.0548569,2.54,,,,0.78,5225.0,,1083.91,
HD 15337 b,HD 15337,4.75597367929,1.72541702,,909.53,161.7314,0.841842,5175.2,,44.8155,
Kepler-809 b,Kepler-809,55.63765,2.7,,463.0,,0.9,5908.0,,961.405,
Kepler-137 b,Kepler-137,8.436387,1.47,,,,0.802,5187.0,,302.979,
TOI-700 c,TOI-700,16.05111,2.65,,356.0,2.66,0.424,3461.0,-1.63451,31.1265,
Kepler-1000 b,Kepler-1000,120.0181272,4.67,,501.0,14.87,1.484,6749.0,,1115.62,
Kepler-120 c,Kepler-120,12.79455062,1.64,,455.0,10.15,0.57,4096.0,,388.63,
Kepler-1983 b,Kepler-1983,7.32851947,2.33,,807.0,100.13,0.874,5135.0,,424.428,
Kepler-179 b,Kepler-179,2.73589,1.7,,1056.0,,0.738,5289.0,,605.68,
Kepler-6 b,Kepler-6,3.234699312,13.101,,,753.0,1.261,5660.0,,587.039,
Kepler-248 b,Kepler-248,6.308205,3.02,,,,0.831,5190.0,,738.792,
TOI-2018 b,TOI-2018,7.43557089552,2.27615636,,576.34,26.0758,0.622512,4218.9,,27.9956,
Kepler-374 b,Kepler-374,1.897828,1.16,,1508.0,,0.97,6022.0,,1265.61,
TOI-622 b,TOI-622,6.40252947289,9.30024126,,1274.23,623.0277,1.4072,7056.0,,123.297,
TOI-1136 f,TOI-1136,26.317822,3.73591482,0.10068326,598.11,,0.9573,5805.0,-0.02687,84.5362,3.0
Kepler-347 b,Kepler-347,12.7983044,1.99,,811.0,102.02,0.998,6092.0,,1298.88,
Kepler-292 f,Kepler-292,20.8342947,2.94,,613.0,33.29,0.915,5513.0,,1056.48,
K2-140 b,K2-140,6.56918,12.25,,957.0,,0.99,5705.0,,347.917,
Kepler-479 b,Kepler-479,12.49341307,2.12,,,,0.81,5247.0,,344.901,
Kepler-731 b,Kepler-731,3.855603916,13.61,,1212.0,508.65,1.046,6033.0,,1257.16,
HD 1397 b,HD 1397,11.5366,11.466807,0.367,1519.0,,2.341,5474.0,0.63548,79.5702,
Kepler-1946 b,Kepler-1946,3.035190105,2.48812698,,,,0.873,5505.0,,1002.12,
Kepler-793 b,Kepler-793,4.24153629,1.44,,1177.0,452.95,1.047,5776.0,,985.699,
Kepler-1246 b,Kepler-1246,11.32306,1.12,,547.0,,0.62,4592.0,,436.505,
Kepler-257 d,Kepler-257,24.66459711,4.664,,,15.2,0.801,5118.0,,780.256,
Kepler-1209 b,Kepler-1209,25.369116,1.51,,,,1.38,6210.0,,505.531,
Kepler-1094 b,Kepler-1094,78.0971,2.8,,446.0,,0.99,6158.0,,1291.01,
Kepler-269 b,Kepler-269,5.32670215,2.32,,,,0.89,5509.0,,2257.32,
WASP-47 b,WASP-47,4.159152,12.251,1.12324761,1146.0,409.0,1.144,5476.0,,264.78,0.97
Kepler-1306 b,Kepler-1306,16.29595382,1.91,,,,0.97,5727.0,,1107.5,
K2-48 b,K2-48,20.5107,2.23,,,,0.662,,,313.764,
Kepler-1931 b,Kepler-1931,38.5752965,1.96,,702.0,57.46,1.402,6478.0,,620.091,
Kepler-617 b,Kepler-617,1.6826933,1.37,,820.0,,0.502,3890.0,,173.354,
Kepler-222 b,Kepler-222,3.936981,3.16,,,,0.869,5433.0,,758.854,
Kepler-447 b,Kepler-447,7.794301316,5.908,,,113.6,0.85,5620.0,,268.041,
XO-5 b,XO-5,4.1877558,12.78,1.19,1230.0,,1.13,5430.0,,276.211,1.06
Kepler-42 d,Kepler-42,1.8651086,3.08,,964.0,,0.681,4188.0,,40.0595,
TOI-4504 b,TOI-4504,2.42614,2.691,,,,0.92,5315.0,-0.20761,342.605,
Kepler-229 b,Kepler-229,6.252964898,2.288,,,72.9,0.706,5002.0,,826.265,
Kepler-27 c,Kepler-27,31.33050622,7.24,,496.0,14.33,0.863,5325.0,,1044.36,
Kepler-1591 b,Kepler-1591,8.18504949,1.27,,,,1.16,6082.0,,1419.58,
Kepler-388 b,Kepler-388,3.17323306,0.91,,830.0,112.21,0.633,4500.0,,,
TOI-1452 b,TOI-1452,11.06201,1.672,0.01516542,326.0,1.8,0.275,3185.0,-2.1549,30.5212,5.6
Kepler-508 b,Kepler-508,25.30893566,1.77,,710.0,60.2,1.292,5949.0,,324.618,
Kepler-352 c,Kepler-352,16.33269981,1.61,,591.0,28.76,0.772,5208.0,,252.733,
Kepler-742 b,Kepler-742,8.360868238,3.73,,690.0,53.68,0.81,4743.0,,489.253,
Kepler-138 c,Kepler-138,13.78109344,1.33,,398.0,5.95,0.5,3841.0,,66.8624,
Kepler-33 d,Kepler-33,21.77568751,4.529,,,109.8,1.609,5947.0,,1209.16,
Kepler-269 b,Kepler-269,5.326718,2.47,,,,0.959,5847.0,,2257.32,
Kepler-124 b,Kepler-124,3.41045424,0.916,,,194.8,0.748,4960.0,,420.046,
Kepler-203 c,Kepler-203,5.371,2.09,2.36,,,0.937,,,703.302,
Kepler-1987 d,Kepler-1987,5.644889832,3.2650001,,,,0.714,4769.0,,595.683,
K2-229 b,K2-229,0.584272,1.26,0.0080232,1763.0,2290.0,0.774,5163.0,,102.564,7.6
Kepler-1232 b,Kepler-1232,26.7839183,2.12,,583.0,27.36,0.985,5495.0,,632.865,
K2-58 d,K2-58,22.881145,1.78,,,,0.76,4998.0,,181.746,
Kepler-1850 b,Kepler-1850,1.385785956,0.54,,989.0,225.95,0.587,4189.0,,250.199,
Kepler-155 b,Kepler-155,5.9311924,1.73,,614.0,19.0,0.529,4057.0,-1.21,293.499,
Kepler-237 c,Kepler-237,8.10361363,2.27,,688.0,52.82,0.732,4861.0,,657.822,
TOI-4184 b,TOI-4184,4.9019804,2.43,,412.0,4.8,0.2347,3238.0,-2.2644,69.3649,
