pl_name,hostname,pl_orbper,pl_rade,pl_bmassj,pl_eqt,pl_insol,st_rad,st_teff,st_lum,sy_dist,pl_dens
HD 3167 b,HD 3167,0.96,1.626,0.01758802,,,0.88,5261.0,,47.2899,7.2
WASP-39 b,WASP-39,4.0552941,14.336311,0.281,1166.0,,0.939,5485.0,,213.982,0.167
HAT-P-11 b,HAT-P-11,4.887802706,4.84,,801.0,97.1,0.765,4777.0,,37.7647,
HAT-P-11 b,HAT-P-11,4.887802706,4.84,,801.0,97.1,0.765,4777.0,,37.7647,
HD 63433 c,HD 63433,20.54381533218,2.57342831,,621.93,35.3582,0.902932,5694.11,,22.4035,
WASP-62 b,WASP-62,4.41194,15.02006,0.58,1475.3,,1.29,6230.0,,175.631,0.32
NGTS-10 b,NGTS-10,0.7668944,13.506845,2.162,1332.0,,0.697,4600.0,,,1.43
GJ 3470 b,GJ 3470,3.336649,3.88,0.03958091,615.0,,0.48,3652.0,-1.5376,29.4214,0.93
HIP 67522 b,HIP 67522,6.959503,10.07,,1174.0,,1.38,5675.0,0.24304,127.28,
WASP-19 b,WASP-19,0.78883852,15.86070769,1.154,2113.0,3320.0,1.006,5616.0,-0.04335,268.325,0.506
K2-25 b,K2-25,3.48456408,3.44,0.07708562,494.0,9.91,0.2932,3207.0,-2.08831,44.9565,
WASP-96 b,WASP-96,3.42525631341,14.37529211,,1233.15,546.4855,1.11655,5540.0,,352.464,
TOI-283 b,TOI-283,17.6174652,2.01411,,610.0,23.0207,0.81,5250.0,,82.7013,
HAT-P-1 b,HAT-P-1,4.4652986,14.5331,,1118.0,259.687,1.18,6051.2,,158.979,
WASP-17 b,WASP-17,3.7354838,21.2315,,1670.0,1292.19,1.57,6650.0,,405.908,
HD 17156 b,HD 17156,21.216464,13.1431,,581.0,18.9464,1.55,5925.0,,78.0863,
KELT-7 b,KELT-7,2.7347651,17.805,,1808.0,1775.39,1.77,6767.9,,136.681,
GJ 3470 b,GJ 3470,3.33665106329,4.13050781,,595.19,29.6584,0.499698,3552.0,,29.4214,
HAT-P-11 b,HAT-P-11,4.8878037,5.29152,,810.0,71.6805,0.76,4757.3,,37.7647,
HD 3167 b,HD 3167,0.959632,1.574,0.01790274,1759.0,,0.835,5286.0,,47.2899,8.0
HD 3167 c,HD 3167,29.84622,2.74,0.02620911,548.0,,0.835,5286.0,,47.2899,2.21
COCONUTS-2 b,COCONUTS-2 A,402000000.0,12.44196858,6.3,434.0,,0.388,3406.0,-1.732,10.8864,
HD 63433 b,HD 63433,7.10793,2.15,,,,0.912,5640.0,-0.12321,22.4035,
HD 63433 c,HD 63433,20.5453,2.67,,,,0.912,5640.0,-0.12321,22.4035,
HR 8799 c,HR 8799,69000.0,13.0,10.0,,,,,0.69197,41.2441,
TOI-269 b,TOI-269,3.69771670923,2.94204396,,533.84,19.1944,0.397924,3607.0,,57.0225,
HD 3167 b,HD 3167,0.95965428,1.627,0.01488224,1777.0,,0.871,5300.0,-0.27003,47.2899,5.5
HD 3167 c,HD 3167,29.8464948,2.923,0.03357157,565.0,,0.871,5300.0,-0.27003,47.2899,2.35
HD 3167 b,HD 3167,0.959641,1.67,0.01563737,1774.0,1650.0,0.88,5261.0,,47.2899,5.6
HD 63433 c,HD 63433,20.5456,2.71,,,,0.934,5710.0,,22.4035,
HIP 67522 b,HIP 67522,6.9593972138,9.38005266,,1096.06,341.0878,1.33729,5854.0,,127.28,
TOI-4201 b,TOI-4201,3.5819194,13.67495645,2.48,725.0,45.2,0.63,3794.0,-1.11919,189.011,1.82
TOI-4201 b,TOI-4201,3.5819134,12.66614819,2.57,750.0,53.0,0.616,3926.0,-1.09205,189.011,2.21
Kepler-293 b,Kepler-293,19.25405306,2.89,,,,0.92,5547.0,,974.633,
K2-222 b,K2-222,15.38857,2.35,0.02737326,871.0,96.0,1.115,5942.0,,101.321,3.68
Kepler-549 d,Kepler-549,24.61482073,3.65,,565.0,24.01,0.856,5467.0,,635.145,
Kepler-395 b,Kepler-395,7.05427318,0.78,,450.0,9.66,0.4,3735.0,,421.382,
Kepler-1515 b,Kepler-1515,214.3114164,9.33,,390.0,5.49,1.375,6517.0,,539.321,
Kepler-1834 b,Kepler-1834,4.602996,1.288,,,105.2,0.719,4835.0,,500.395,
Kepler-703 b,Kepler-703,4.5835184,5.4,,1027.0,,0.87,5796.0,,1156.83,
TOI-5126 b,TOI-5126,5.4589863,4.40571,,1247.0,402.195,1.24,6223.0,,160.414,
Kepler-1471 b,Kepler-1471,3.63899398,1.32,,1153.0,418.3,0.848,5881.0,,978.678,
WASP-22 b,WASP-22,3.53273064,13.439591,0.617,1502.0,,1.255,6153.0,,317.652,0.444
Kepler-1644 b,Kepler-1644,21.0907758,1.8,,607.0,32.07,0.821,5722.0,,629.27,
Kepler-50 b,Kepler-50,7.8128584,1.56,,,,1.59,6280.0,,250.11,
Kepler-325 d,Kepler-325,38.7149617,2.62,,498.0,14.55,0.937,5445.0,,823.242,
K2-5 b,K2-5,5.7348462,2.4,,,,0.62,4088.0,,202.943,
KOI-1257 b,KOI-1257,86.647661,10.54,1.45,511.0,,1.13,5520.0,,,2.1
Kepler-82 e,Kepler-82,5.902209,2.3,,958.0,,0.9,5700.0,,904.326,
TOI-257 b,TOI-257,18.38770808538,6.37909616,,972.38,211.2845,1.76557,6382.7,,76.9028,
Kepler-1369 b,Kepler-1369,25.87333,2.9,,660.0,,1.07,5987.0,,1236.56,
Kepler-697 b,Kepler-697,3.709870645,3.96,,1056.0,294.23,0.852,5576.0,,1277.33,
Kepler-1466 b,Kepler-1466,31.1750448,1.38,,585.0,27.62,0.921,6086.0,,631.949,
WASP-47 b,WASP-47,4.159221,12.3,,,534.0,1.1,5950.0,,264.78,
Kepler-634 b,Kepler-634,5.16950177,1.89,,,,1.24,6075.0,,888.027,
Kepler-1889 b,Kepler-1889,37.3037619,2.59,,494.0,14.08,0.817,5641.0,,1395.13,
KOI-1257 b,KOI-1257,86.64763676,7.62,,366.0,4.24,0.858,5321.0,,,
Kepler-718 b,Kepler-718,2.052349905,13.38,,1495.0,1181.14,1.051,6015.0,,1302.33,
Kepler-1668 b,Kepler-1668,15.43400996,4.3,,721.0,63.79,0.951,5900.0,,1335.64,
Kepler-289 b,Kepler-289,34.5439452,2.67,,607.0,32.02,1.115,5933.0,,704.438,
Kepler-1772 b,Kepler-1772,3.215106337,2.69,,1779.0,2365.66,2.142,5779.0,,871.564,
Kepler-511 c,Kepler-511,26.62946276,3.68,,,101.6,1.698,5837.0,,651.999,
Kepler-684 b,Kepler-684,6.770302008,3.36,,,,0.86,5493.0,,1731.27,
Kepler-393 b,Kepler-393,9.182417,1.29,,,,1.382,6189.0,,881.404,
Kepler-447 b,Kepler-447,7.7942995,6.2,,880.0,,0.94,5600.0,,268.041,
Kepler-202 b,Kepler-202,4.069425638,1.53,,802.0,97.72,0.68,4671.0,,285.111,
HD 63454 b,HD 63454,2.818049,12.31,0.398,,,1.05,4840.0,,37.6894,
Kepler-908 b,Kepler-908,1.340597468,1.07,,1692.0,1939.72,1.022,5977.0,,290.843,
Kepler-60 d,Kepler-60,11.8984932,1.76,,1013.0,249.12,1.448,6200.0,,1025.1,
Kepler-116 b,Kepler-116,5.968717469,3.43,,,,1.43,6187.0,,955.168,
TOI-654.01,TOI-654,1.5275657,2.37126,,748.54,53.3454,0.43,3433.0,,57.7553,
WASP-133 b,WASP-133,2.176423,13.56289,1.16,1790.0,,1.44,5700.0,,559.084,0.88
Kepler-68 b,Kepler-68,5.398763,2.31,0.026,1280.0,,1.243,5793.0,0.194,144.166,3.32
Kepler-181 b,Kepler-181,3.137848829,1.371,,,247.5,0.784,5120.0,,609.283,
KELT-15 b,KELT-15,3.32944,19.50366,1.31,,,1.78,6003.0,,324.683,
Kepler-188 b,Kepler-188,2.06187,1.84,,1571.0,,1.12,6008.0,,968.544,
K2-230 b,K2-230,2.860636,1.93420564,,,,1.181244,6002.0,,540.773,
Kepler-1077 b,Kepler-1077,34.3511874,2.64,,576.0,26.1,0.967,6091.0,,1101.42,
Kepler-1800 b,Kepler-1800,4.56204856,0.852,,,242.0,0.932,5330.0,,350.455,
Kepler-1005 b,Kepler-1005,6.49801525,1.52,,1027.0,262.88,1.099,5718.0,,567.806,
TOI-3984 A b,TOI-3984 A,4.3533211,7.17236,,548.0,14.9972,0.46,3422.0,,108.883,
Kepler-1890 b,Kepler-1890,4.82052932,0.84,,1350.0,784.69,1.31,6483.0,,529.596,
K2-139 b,K2-139,28.382071,9.26802368,,,,0.872288,5425.0,,153.856,
Kepler-1892 b,Kepler-1892,6.3312784,1.48,,821.0,107.2,0.758,5376.0,,851.595,
Kepler-1586 b,Kepler-1586,15.6049212,1.95,,1109.0,357.25,2.106,6245.0,,552.55,
Kepler-183 b,Kepler-183,5.6879831,2.19,,1004.0,239.99,0.944,5888.0,,1050.64,
HD 21520 b,HD 21520,25.1292,2.697,0.05569043,637.0,,1.044,5871.0,0.06595,79.208,1.35
Kepler-132 b,Kepler-132,6.178165,1.22,,1033.0,,1.03,5925.0,,349.549,
KELT-6 b,KELT-6,7.8457,13.372,0.43,1313.0,,1.58,6102.0,0.493,240.726,0.311
Kepler-1722 b,Kepler-1722,9.178475,2.2,,755.0,,0.8,5506.0,,772.283,
Kepler-209 b,Kepler-209,16.08786478,2.29,,,,0.92,5562.0,,576.946,
Kepler-690 b,Kepler-690,7.748094374,5.95,,,,1.16,5913.0,,1665.31,
Kepler-280 c,Kepler-280,4.807099588,1.84,,1004.0,239.83,0.856,5741.0,,780.361,
TOI-1836 b,TOI-1836,20.380799,8.00321222,0.121,966.0,,1.577,6380.0,0.5682,191.649,0.41
K2-21 c,K2-21,15.50116,1.53,,,5.09,0.46,4006.0,,83.6448,
Kepler-301 c,Kepler-301,5.41908491,1.38,,989.0,225.71,0.881,5814.0,,719.166,
Kepler-107 e,Kepler-107,14.74913518,3.07,,875.0,138.71,1.411,5851.0,,525.997,
Kepler-1509 b,Kepler-1509,25.4338197,1.91,,653.0,42.87,1.027,6077.0,,2002.96,
WASP-11 b,WASP-11,3.7224747,11.265,0.487,,,0.79,4980.0,-0.469,124.73,0.594
Kepler-568 b,Kepler-568,11.02347475,2.11,,418.0,7.23,0.5,3744.0,,130.645,
WASP-15 b,WASP-15,3.7521,15.457211,0.551,,,1.44,6300.0,,282.091,
Kepler-99 b,Kepler-99,4.603578042,1.812,,,105.0,0.737,4852.0,,208.369,
Kepler-85 c,Kepler-85,12.513,2.14,0.066,,,0.872,,,765.025,
K2-3 b,K2-3,10.0546535,2.078,0.01607786,501.3,10.5,0.546,3844.0,-1.23136,44.0727,3.11
Kepler-1898 b,Kepler-1898,4.765620232,0.93353523,,,,1.125,5702.0,,360.921,
Kepler-1272 b,Kepler-1272,51.1309704,2.41,,542.0,20.38,1.107,6071.0,,1206.37,
Kepler-675 b,Kepler-675,2.33743801,2.38,,1054.0,291.62,0.727,4989.0,,665.68,
Kepler-454 b,Kepler-454,10.573757029,1.88,,,,1.07,5767.0,,230.869,
K2-240 b,K2-240,6.034,2.0,,586.0,,0.54,3810.0,-1.27572,72.9105,
Kepler-1536 b,Kepler-1536,364.758031,2.98,,166.0,0.18,0.63,4386.0,,387.248,
HATS-11 b,HATS-11,3.61887686846,16.6459863,,1443.92,1027.296,1.46198,5871.0,,944.603,
HAT-P-18 b,HAT-P-18,5.508023,11.153,0.197,852.0,,0.749,4803.0,-0.569,161.4,0.25
Kepler-1248 b,Kepler-1248,7.46718958,1.04,,1035.0,271.25,1.169,6161.0,,593.026,
Kepler-1514 b,Kepler-1514,217.8317626,22.02,,497.0,14.38,2.274,6382.0,,397.292,
Kepler-1886 b,Kepler-1886,24.2758007,2.58158428,,,,0.837,5745.0,,1059.51,
K2-117 c,K2-117,5.443984,2.1,,,,0.52,,,101.632,
K2-343 c,K2-343,7.67689,2.44,,,,0.507,,,166.169,
Kepler-412 b,Kepler-412,1.720861324,13.5,,,,1.21,5858.0,,1086.24,
Kepler-392 b,Kepler-392,5.341788,1.2,,1364.0,,1.46,6482.0,,681.428,
TOI-1470 c,TOI-1470,18.08816,2.47,0.02277959,373.0,3.35,0.469,3709.0,-1.42481,51.9503,2.66
Kepler-132 b,Kepler-132,6.17817366,1.22,,1082.0,324.69,1.101,5931.0,,349.549,
WASP-118 b,WASP-118,4.0460407,15.625346,0.52,1753.0,,1.754,,,376.658,0.256
Kepler-1807 b,Kepler-1807,10.86060638,2.14,,1108.0,356.24,1.496,6455.0,,1299.32,
Kepler-524 c,Kepler-524,1.88897906,1.03,,1717.0,2056.09,1.251,6049.0,,1058.24,
Kepler-1146 b,Kepler-1146,2.352265797,1.35,,1027.0,262.82,0.757,4816.0,,703.038,
Kepler-79 b,Kepler-79,13.48458665,2.73,,850.0,123.31,1.037,6388.0,,1020.72,
Kepler-223 e,Kepler-223,19.7240891,48.785,,,111.6,1.574,5697.0,,1859.71,
Kepler-280 c,Kepler-280,4.807099588,2.04,,,,0.93,5657.0,,780.361,
Kepler-1218 b,Kepler-1218,22.9221266,1.36,,684.0,51.7,1.081,5897.0,,840.503,
Kepler-1630 b,Kepler-1630,509.997402,2.62,,182.0,0.26,0.756,5037.0,,331.213,
Kepler-1828 b,Kepler-1828,10.27377201,1.74,,774.0,84.84,0.856,5718.0,,871.81,
Kepler-1347 b,Kepler-1347,14.00947528,0.99,,617.0,34.32,0.767,5153.0,,,
Kepler-32 b,Kepler-32,5.901,2.25,0.03,,,0.529,,,323.847,
