time,flux,flux_err
1325.2954950150029,6579.7603,10.914296
1325.2968838975428,6574.5254,10.903887
1325.2982727800827,6578.17,10.903909
1325.299661662637,6573.953,10.90642
1325.301050545206,6582.4307,10.904649
1325.302439427775,6569.722,10.905719
1325.3038283103438,6562.9155,10.893887
1325.305217192927,6578.032,10.912603
1325.3066060755252,6566.5884,10.906071
1325.3079949581233,6577.441,10.907708
1325.3093838407358,6581.995,10.912849
1325.3107727233482,6593.214,10.918497
1325.3121616059757,6581.0522,10.920618
1325.3135504886034,6573.111,10.925293
1325.3149393712451,6583.432,10.923277
1325.3163282539006,6560.1675,10.902785
1325.3177171365573,6570.4775,10.913768
1325.3191060192137,6556.6934,10.913876
1325.3204949018836,6562.2666,10.92471
1325.3218837845698,6573.3047,10.90739
1325.3232726672552,6583.772,10.924756
1325.3246615499543,6601.121,10.936529
1325.326050432655,6570.555,10.91454
1325.3274393153692,6568.3286,10.913756
1325.328828198083,6578.772,10.9233265
1325.3302170808129,6560.32,10.923859
1325.3316059635424,6567.061,10.927574
1325.332994846286,6572.0093,10.924857
1325.334383729044,6578.372,10.926961
1325.3357726118022,6569.7417,10.933804
1325.3371614945604,6589.5796,10.934992
1325.338550377333,6539.6597,10.906606
1325.33993926012,6579.412,10.934084
1325.3413281429073,6560.1265,10.9211645
1325.3427170257091,6582.243,10.933801
1325.3441059085108,6559.598,10.929439
1325.3454947913278,6579.049,10.937962
1325.346883674144,6576.3364,10.933553
1325.3482725569743,6552.8745,10.937322
1325.349661439806,6587.4946,10.949656
1325.3510503226512,6576.399,10.955518
1325.352439205496,6581.5356,10.951741
1325.3538280883565,6573.5684,10.945193
1325.3552169712166,6566.1694,10.943119
1325.3566058540903,6571.795,10.961014
1325.3579947369653,6568.581,10.9499855
1325.3593836198547,6565.1616,10.946471
1325.3607725027575,6579.221,10.959982
1325.3621613856617,6583.9897,10.9638815
1325.363550268566,6561.9146,10.9516
1325.3649391514837,6584.339,10.980727
1325.3663280344017,6578.1255,10.962407
1325.3677169173352,6571.3896,10.969837
1325.3691058002817,6574.9814,10.966385
1325.370494683229,6563.155,10.966839
1325.371883566177,6601.741,10.985413
1325.3732724491388,6577.1396,10.979057
1325.374661332115,6579.0264,10.983179
1325.3760502150915,6580.668,10.977044
1325.377439098068,6577.423,10.979856
1325.3788279810587,6561.419,10.97955
1325.380216864064,6558.465,10.972166
1325.3816057470704,6584.9717,10.990287
1325.382994630076,6573.5244,10.988734
1325.3843835130951,6574.3687,10.990553
1325.3857723961305,6566.785,10.986754
1325.387161279165,6574.962,10.995605
1325.388550162199,6561.3325,10.98188
1325.3899390452489,6566.694,10.994365
1325.3913279283124,6581.924,11.011476
1325.3927168113755,6574.892,11.00258
1325.39410569444,6571.322,10.999532
1325.395494577518,6577.8594,11.000661
1325.3968834606103,6574.126,11.000602
1325.3982723437036,6582.4766,11.012402
1325.399661226797,6577.1035,11.010633
1325.4010501099037,6568.077,11.011333
1325.402438993011,6563.8975,11.012101
1325.4038278761336,6575.833,11.004346
1325.4052167592695,6564.926,11.007024
1325.4066056423912,6582.1606,11.029907
1325.407994525543,6563.323,11.013112
1325.4093834086939,6575.2734,11.0246
1325.410772291845,6568.506,11.0246525
1325.4121611750106,6575.3794,11.026168
1325.413550058176,6566.7383,11.022228
1325.414938941356,6576.7524,11.028133
1325.4163278245364,6591.6323,11.044385
1325.4177167077316,6562.7124,11.035968
1325.4191055909264,6572.334,11.042871
1325.4204944741202,6567.641,11.031518
1325.42188335733,6558.122,11.021356
1325.4232722405538,6584.356,11.046226
1325.4246611237768,6556.9365,11.026354
1325.4260500070159,6574.4844,11.038079
1325.4274388902543,6571.505,11.040305
1325.4288277734918,6562.2236,11.046582
1325.4302166567454,6556.501,11.040059
1325.4316055399981,6573.9204,11.048757
1325.432994423265,6574.721,11.053125
1325.4343833065477,6566.93,11.04937
1325.4357721898157,6577.903,11.054192
1325.4371610731114,6564.159,11.044207
1325.4385499563937,6572.1978,11.054885
1325.4399388396907,6557.826,11.045967
1325.441327723001,6576.0234,11.064988
1325.4427166063122,6581.3755,11.066433
1325.4441054896383,6556.8037,11.046715
